Frame,Other,FCC,HCP,BCC,ICO
0,1381,4092,0,0,0
1,1380,4093,0,0,0
2,1380,4093,0,0,0
3,1381,4092,0,0,0
4,1380,4093,0,0,0
5,1380,4093,0,0,0
6,1380,4093,0,0,0
7,1380,4093,0,0,0
8,1380,4093,0,0,0
9,1381,4092,0,0,0
10,1380,4093,0,0,0
11,1380,4093,0,0,0
12,1381,4092,0,0,0
13,1380,4093,0,0,0
14,1380,4093,0,0,0
15,1380,4093,0,0,0
16,1380,4093,0,0,0
17,1381,4092,0,0,0
18,1382,4091,0,0,0
19,1381,4092,0,0,0
20,1380,4093,0,0,0
21,1381,4092,0,0,0
22,1381,4092,0,0,0
23,1380,4093,0,0,0
24,1381,4092,0,0,0
25,1380,4093,0,0,0
26,1380,4093,0,0,0
27,1380,4093,0,0,0
28,1380,4093,0,0,0
29,1381,4092,0,0,0
30,1382,4091,0,0,0
31,1380,4093,0,0,0
32,1380,4093,0,0,0
33,1381,4092,0,0,0
34,1381,4092,0,0,0
35,1380,4093,0,0,0
36,1380,4093,0,0,0
37,1381,4092,0,0,0
38,1380,4093,0,0,0
39,1380,4093,0,0,0
40,1380,4093,0,0,0
41,1382,4091,0,0,0
42,1380,4093,0,0,0
43,1380,4093,0,0,0
44,1380,4093,0,0,0
45,1381,4092,0,0,0
46,1384,4089,0,0,0
47,1380,4093,0,0,0
48,1380,4093,0,0,0
49,1380,4093,0,0,0
50,1381,4092,0,0,0
51,1380,4093,0,0,0
52,1381,4092,0,0,0
53,1382,4091,0,0,0
54,1380,4093,0,0,0
55,1380,4093,0,0,0
56,1381,4092,0,0,0
57,1380,4093,0,0,0
58,1380,4093,0,0,0
59,1380,4093,0,0,0
60,1381,4092,0,0,0
61,1381,4092,0,0,0
62,1380,4093,0,0,0
63,1380,4093,0,0,0
64,1380,4093,0,0,0
65,1381,4092,0,0,0
66,1380,4093,0,0,0
67,1380,4093,0,0,0
68,1381,4092,0,0,0
69,1382,4091,0,0,0
70,1380,4093,0,0,0
71,1380,4093,0,0,0
72,1380,4093,0,0,0
73,1383,4090,0,0,0
74,1381,4092,0,0,0
75,1382,4091,0,0,0
76,1382,4091,0,0,0
77,1381,4092,0,0,0
78,1381,4092,0,0,0
79,1380,4093,0,0,0
80,1380,4093,0,0,0
81,1380,4093,0,0,0
82,1381,4092,0,0,0
83,1383,4090,0,0,0
84,1380,4093,0,0,0
85,1380,4093,0,0,0
86,1381,4092,0,0,0
87,1382,4091,0,0,0
88,1382,4091,0,0,0
89,1388,4085,0,0,0
90,1383,4090,0,0,0
91,1388,4085,0,0,0
92,1380,4093,0,0,0
93,1386,4087,0,0,0
94,1389,4084,0,0,0
95,1388,4085,0,0,0
96,1387,4086,0,0,0
97,1385,4088,0,0,0
98,1384,4089,0,0,0
99,1397,4076,0,0,0
100,1392,4080,0,1,0
101,1392,4081,0,0,0
102,1403,4070,0,0,0
103,1403,4070,0,0,0
104,1392,4081,0,0,0
105,1394,4079,0,0,0
106,1405,4067,0,1,0
107,1412,4061,0,0,0
108,1395,4078,0,0,0
109,1403,4070,0,0,0
110,1428,4045,0,0,0
111,1431,4042,0,0,0
112,1427,4046,0,0,0
113,1416,4057,0,0,0
114,1446,4027,0,0,0
115,1422,4050,0,1,0
116,1432,4041,0,0,0
117,1423,4050,0,0,0
118,1440,4033,0,0,0
119,1462,4011,0,0,0
120,1479,3993,0,1,0
121,1459,4014,0,0,0
122,1464,4009,0,0,0
123,1476,3997,0,0,0
124,1471,4002,0,0,0
125,1502,3971,0,0,0
126,1509,3962,0,2,0
127,1480,3992,0,1,0
128,1509,3964,0,0,0
129,1532,3939,0,2,0
130,1555,3917,0,1,0
131,1542,3931,0,0,0
132,1520,3952,0,1,0
133,1566,3907,0,0,0
134,1535,3936,0,2,0
135,1548,3925,0,0,0
136,1582,3889,0,2,0
137,1565,3908,0,0,0
138,1565,3907,0,1,0
139,1595,3878,0,0,0
140,1581,3892,0,0,0
141,1661,3809,0,3,0
142,1627,3845,0,1,0
143,1659,3813,0,1,0
144,1627,3844,0,2,0
145,1684,3789,0,0,0
146,1708,3765,0,0,0
147,1652,3819,0,2,0
148,1698,3771,0,4,0
149,1747,3724,0,2,0
150,1634,3837,0,2,0
151,1766,3705,0,2,0
152,1798,3674,0,1,0
153,1736,3736,0,1,0
