Frame,Other,FCC,HCP,BCC,ICO
0,1380,4093,0,0,0
1,1380,4093,0,0,0
2,1380,4093,0,0,0
3,1380,4093,0,0,0
4,1380,4093,0,0,0
5,1380,4093,0,0,0
6,1380,4093,0,0,0
7,1380,4093,0,0,0
8,1380,4093,0,0,0
9,1380,4093,0,0,0
10,1380,4093,0,0,0
11,1380,4093,0,0,0
12,1380,4093,0,0,0
13,1380,4093,0,0,0
14,1380,4093,0,0,0
15,1380,4093,0,0,0
16,1380,4093,0,0,0
17,1380,4093,0,0,0
18,1380,4093,0,0,0
19,1380,4093,0,0,0
20,1380,4093,0,0,0
21,1380,4093,0,0,0
22,1380,4093,0,0,0
23,1380,4093,0,0,0
24,1380,4093,0,0,0
25,1380,4093,0,0,0
26,1380,4093,0,0,0
27,1380,4093,0,0,0
28,1380,4093,0,0,0
29,1380,4093,0,0,0
30,1380,4093,0,0,0
31,1380,4093,0,0,0
32,1380,4093,0,0,0
33,1380,4093,0,0,0
34,1380,4093,0,0,0
35,1380,4093,0,0,0
36,1380,4093,0,0,0
37,1380,4093,0,0,0
38,1380,4093,0,0,0
39,1380,4093,0,0,0
40,1380,4093,0,0,0
41,1380,4093,0,0,0
42,1380,4093,0,0,0
43,1380,4093,0,0,0
44,1380,4093,0,0,0
45,1380,4093,0,0,0
46,1380,4093,0,0,0
47,1380,4093,0,0,0
48,1380,4093,0,0,0
49,1380,4093,0,0,0
50,1380,4093,0,0,0
51,1380,4093,0,0,0
52,1380,4093,0,0,0
53,1380,4093,0,0,0
54,1380,4093,0,0,0
55,1380,4093,0,0,0
56,1380,4093,0,0,0
57,1380,4093,0,0,0
58,1380,4093,0,0,0
59,1380,4093,0,0,0
60,1380,4093,0,0,0
61,1380,4093,0,0,0
62,1380,4093,0,0,0
63,1380,4093,0,0,0
64,1380,4093,0,0,0
65,1380,4093,0,0,0
66,1380,4093,0,0,0
67,1380,4093,0,0,0
68,1380,4093,0,0,0
69,1380,4093,0,0,0
70,1380,4093,0,0,0
71,1380,4093,0,0,0
72,1380,4093,0,0,0
73,1380,4093,0,0,0
74,1380,4093,0,0,0
75,1380,4093,0,0,0
76,1380,4093,0,0,0
77,1380,4093,0,0,0
78,1380,4093,0,0,0
79,1380,4093,0,0,0
80,1380,4093,0,0,0
81,1380,4093,0,0,0
82,1380,4093,0,0,0
83,1380,4093,0,0,0
84,1380,4093,0,0,0
85,1380,4093,0,0,0
86,1380,4093,0,0,0
87,1380,4093,0,0,0
88,1380,4093,0,0,0
89,1380,4093,0,0,0
90,1380,4093,0,0,0
91,1380,4093,0,0,0
92,1380,4093,0,0,0
93,1380,4093,0,0,0
94,1380,4093,0,0,0
95,1380,4093,0,0,0
96,1380,4093,0,0,0
97,1380,4093,0,0,0
98,1380,4093,0,0,0
99,1380,4093,0,0,0
100,1380,4093,0,0,0
101,1380,4093,0,0,0
102,1383,4090,0,0,0
103,1381,4092,0,0,0
104,1380,4093,0,0,0
105,1380,4093,0,0,0
106,1381,4092,0,0,0
107,1381,4092,0,0,0
108,1380,4093,0,0,0
109,1382,4091,0,0,0
110,1385,4088,0,0,0
111,1384,4089,0,0,0
112,1388,4085,0,0,0
113,1388,4085,0,0,0
114,1385,4088,0,0,0
115,1386,4087,0,0,0
116,1385,4088,0,0,0
117,1383,4090,0,0,0
118,1393,4080,0,0,0
119,1396,4077,0,0,0
120,1387,4086,0,0,0
121,1388,4085,0,0,0
122,1386,4087,0,0,0
123,1395,4078,0,0,0
124,1396,4077,0,0,0
125,1390,4083,0,0,0
126,1395,4078,0,0,0
127,1395,4078,0,0,0
128,1399,4074,0,0,0
129,1424,4049,0,0,0
130,1418,4055,0,0,0
131,1404,4069,0,0,0
132,1419,4054,0,0,0
133,1403,4070,0,0,0
134,1412,4061,0,0,0
