
thermo_style            custom step etotal ke pe density temp press
thermo                  1000

dump                    myDump all xyz 5000 N2_Shock\dump.xyz


# ----------------------------
# Boundary conditions
# ----------------------------

fix xwalls all wall/reflect xhi 16000 units box


# Continue piston from previous position

variable piston_start equal 400000

variable wall_mov equal (step+v_piston_start)*dt*0.01421

fix piston all wall/reflect xlo v_wall_mov units box


# ----------------------------
# Integration
# ----------------------------

fix integrator all nve


# ----------------------------
# Density measurement
# ----------------------------

compute chunks_x all chunk/atom bin/1d x 0.0 10.0 units box

compute temp_chunk all temp/chunk chunks_x temp com yes


fix density_measure all ave/chunk 100 10 1000 chunks_x vx temp density/number density/mass bias temp_chunk norm sample file N2_Shock\dens_contd.profile


# ----------------------------
# Restart files
# ----------------------------

restart 100000 N2_Shock\restart\shock_combined_1.restart


run 400000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 16.5
  ghost atom cutoff = 16.5
  binsize = 8.25, bins = 1940 32 32
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 33.5 | 47.91 | 69.24 Mbytes
   Step         TotEng         KinEng         PotEng        Density          Temp          Press     
         0   1363757.8      1330355.6      33402.236      0.0078617168   1259.2488      45.260647    
      1000   1366119.2      1332738        33381.197      0.0078617168   1261.5038      45.80108     
      2000   1368904.3      1335540.5      33363.748      0.0078617168   1264.1566      44.804101    
      3000   1371544.4      1338239.9      33304.545      0.0078617168   1266.7117      45.472584    
      4000   1374074.6      1340410.8      33663.814      0.0078617168   1268.7665      45.907746    
      5000   1376842.3      1343320.8      33521.529      0.0078617168   1271.521       45.414036    
      6000   1379649.1      1346145.9      33503.181      0.0078617168   1274.1951      45.29792     
      7000   1382450.7      1348918.1      33532.594      0.0078617168   1276.8191      46.214677    
      8000   1384966.1      1351370.4      33595.718      0.0078617168   1279.1404      46.284663    
      9000   1387796.5      1354086        33710.405      0.0078617168   1281.7109      44.650548    
     10000   1390425        1357215.6      33209.41       0.0078617168   1284.6731      47.109851    
     11000   1393107.9      1359352.2      33755.627      0.0078617168   1286.6956      46.470358    
     12000   1395644.7      1362218.8      33425.938      0.0078617168   1289.4089      46.104215    
     13000   1398346.4      1364834.7      33511.689      0.0078617168   1291.885       45.835951    
     14000   1401173        1367742.3      33430.678      0.0078617168   1294.6372      47.191118    
     15000   1403372.2      1369937.4      33434.776      0.0078617168   1296.715       46.431218    
     16000   1406301.1      1372393.7      33907.37       0.0078617168   1299.04        46.181597    
     17000   1408803.3      1375342.3      33461.027      0.0078617168   1301.831       47.09516     
     18000   1411464.3      1377678.9      33785.409      0.0078617168   1304.0427      46.91131     
     19000   1414090.3      1380244.1      33846.245      0.0078617168   1306.4707      46.284384    
     20000   1417110.9      1383716.6      33394.379      0.0078617168   1309.7576      47.546317    
     21000   1420091.1      1386308        33783.12       0.0078617168   1312.2106      47.593106    
     22000   1422530.6      1388969.1      33561.53       0.0078617168   1314.7294      46.59624     
     23000   1425248.7      1391760.5      33488.187      0.0078617168   1317.3717      47.723593    
     24000   1428010.2      1394564.7      33445.512      0.0078617168   1320.0259      47.823601    
     25000   1430459.2      1396381.1      34078.098      0.0078617168   1321.7453      46.998341    
     26000   1433246.5      1399644        33602.534      0.0078617168   1324.8338      47.735495    
     27000   1435973.1      1402435.2      33537.889      0.0078617168   1327.4758      47.957959    
     28000   1438459        1404755.4      33703.579      0.0078617168   1329.672       47.680852    
     29000   1441221.1      1407831.6      33389.493      0.0078617168   1332.5837      47.591587    
     30000   1444112.3      1410163.6      33948.722      0.0078617168   1334.7911      48.259126    
     31000   1446637.2      1413079.9      33557.267      0.0078617168   1337.5516      48.059714    
     32000   1448829.6      1415130.4      33699.219      0.0078617168   1339.4924      48.009139    
     33000   1451375.1      1417303.9      34071.162      0.0078617168   1341.5498      48.538073    
