Temperature	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
200.00	196.00	367.04	0.0027245	77.331	130.73	4.5608	0.83420	1.7856	403.60	0.088688	2.6237e-05	0.044663	supercritical
300.00	196.00	208.85	0.0047882	185.64	279.49	5.1706	0.78057	1.2990	423.83	0.073854	2.3045e-05	0.037218	supercritical
400.00	196.00	151.44	0.0066035	272.44	401.87	5.5235	0.76921	1.1730	471.32	0.029829	2.5358e-05	0.040386	supercritical
500.00	196.00	120.56	0.0082949	354.22	516.80	5.7802	0.77431	1.1336	514.40	-0.0022875	2.8277e-05	0.044827	supercritical
600.00	196.00	100.77	0.0099235	435.14	629.64	5.9859	0.78957	1.1266	552.66	-0.024684	3.1251e-05	0.049510	supercritical
700.00	196.00	86.835	0.011516	516.91	742.62	6.1600	0.81038	1.1347	587.22	-0.040397	3.4159e-05	0.054209	supercritical
800.00	196.00	76.417	0.013086	600.31	856.80	6.3125	0.83312	1.1495	619.05	-0.051595	3.6973e-05	0.058855	supercritical
900.00	196.00	68.300	0.014641	685.64	972.60	6.4489	0.85552	1.1667	648.86	-0.059744	3.9691e-05	0.063433	supercritical
1000.0	196.00	61.782	0.016186	772.89	1090.1	6.5727	0.87637	1.1839	677.10	-0.065812	4.2322e-05	0.067939	supercritical
1100.0	196.00	56.423	0.017723	861.97	1209.3	6.6863	0.89519	1.2001	704.07	-0.070434	4.4876e-05	0.072380	supercritical
1200.0	196.00	51.934	0.019255	952.70	1330.1	6.7913	0.91188	1.2148	729.99	-0.074029	4.7361e-05	0.076761	supercritical
1300.0	196.00	48.116	0.020783	1044.9	1452.3	6.8891	0.92656	1.2280	755.00	-0.076876	4.9788e-05	0.081090	supercritical
1400.0	196.00	44.828	0.022308	1138.4	1575.7	6.9806	0.93942	1.2398	779.20	-0.079167	5.2163e-05	0.085375	supercritical
1500.0	196.00	41.964	0.023830	1233.1	1700.2	7.0665	0.95068	1.2501	802.68	-0.081034	5.4495e-05	0.089621	supercritical
1600.0	196.00	39.448	0.025350	1328.8	1825.6	7.1474	0.96056	1.2593	825.51	-0.082572	5.6787e-05	0.093834	supercritical
1700.0	196.00	37.218	0.026869	1425.4	1952.0	7.2240	0.96925	1.2675	847.75	-0.083850	5.9047e-05	0.098020	supercritical
1800.0	196.00	35.228	0.028386	1522.7	2079.1	7.2967	0.97693	1.2747	869.42	-0.084918	6.1278e-05	0.10218	    supercritical
1900.0	196.00	33.442	0.029903	1620.8	2206.9	7.3658	0.98374	1.2811	890.59	-0.085815	6.3485e-05	0.10633	    supercritical
2000.0	196.00	31.829	0.031418	1719.5	2335.3	7.4316	0.98981	1.2869	911.28	-0.086571	6.5670e-05	0.11046	    supercritical
