Frame,Other,FCC,HCP,BCC,ICO
0,1080,0,2519,0,0
1,1082,0,2515,2,0
2,1074,0,2525,0,0
3,1078,0,2521,0,0
4,1083,0,2516,0,0
5,1075,0,2524,0,0
6,1079,0,2520,0,0
7,1074,0,2525,0,0
8,1079,0,2520,0,0
9,1082,0,2517,0,0
10,1078,0,2521,0,0
11,1076,0,2521,2,0
12,1088,0,2511,0,0
13,1077,0,2522,0,0
14,1079,0,2520,0,0
15,1075,0,2524,0,0
16,1077,0,2521,1,0
17,1070,0,2529,0,0
18,1082,0,2517,0,0
19,1079,0,2520,0,0
20,1075,0,2524,0,0
21,1079,0,2519,1,0
22,1079,0,2519,1,0
23,1084,0,2515,0,0
24,1082,0,2517,0,0
25,1078,0,2521,0,0
26,1079,0,2520,0,0
27,1077,0,2522,0,0
28,1079,0,2520,0,0
29,1075,0,2524,0,0
30,1077,0,2522,0,0
31,1070,0,2529,0,0
32,1073,0,2526,0,0
33,1073,0,2526,0,0
34,1076,0,2522,1,0
35,1073,0,2526,0,0
36,1079,0,2520,0,0
37,1076,0,2523,0,0
38,1081,0,2518,0,0
39,1077,0,2522,0,0
40,1075,0,2524,0,0
41,1074,0,2525,0,0
42,1072,0,2527,0,0
43,1079,0,2520,0,0
44,1082,0,2517,0,0
45,1081,0,2517,1,0
46,1078,0,2521,0,0
47,1081,0,2517,1,0
48,1078,0,2520,1,0
49,1083,0,2516,0,0
50,1087,0,2512,0,0
51,1088,0,2511,0,0
52,1094,0,2505,0,0
53,1074,0,2525,0,0
54,1079,0,2520,0,0
55,1081,0,2518,0,0
56,1075,0,2523,1,0
57,1085,0,2514,0,0
58,1082,0,2517,0,0
59,1084,0,2514,1,0
60,1085,0,2514,0,0
61,1094,0,2505,0,0
62,1085,0,2512,2,0
63,1079,0,2520,0,0
64,1085,0,2514,0,0
65,1081,0,2517,1,0
66,1087,0,2512,0,0
67,1083,0,2515,1,0
68,1083,0,2516,0,0
69,1070,0,2528,1,0
70,1082,0,2517,0,0
71,1081,0,2517,1,0
72,1082,0,2517,0,0
73,1077,0,2522,0,0
74,1075,0,2524,0,0
75,1080,0,2519,0,0
76,1082,0,2517,0,0
77,1081,0,2517,1,0
78,1081,0,2518,0,0
79,1088,0,2511,0,0
80,1081,0,2518,0,0
81,1091,0,2508,0,0
82,1087,0,2512,0,0
83,1086,0,2513,0,0
84,1090,0,2509,0,0
85,1079,0,2520,0,0
86,1083,0,2516,0,0
87,1082,0,2517,0,0
88,1092,0,2507,0,0
89,1079,0,2520,0,0
90,1085,0,2514,0,0
91,1089,0,2510,0,0
92,1104,0,2495,0,0
93,1102,0,2496,1,0
94,1101,0,2498,0,0
95,1085,0,2514,0,0
96,1090,0,2508,1,0
97,1090,0,2509,0,0
98,1090,0,2509,0,0
99,1104,0,2495,0,0
100,1097,0,2500,2,0
101,1086,0,2513,0,0
102,1103,0,2496,0,0
103,1098,0,2501,0,0
104,1097,0,2502,0,0
105,1122,0,2476,1,0
106,1116,0,2481,2,0
107,1134,0,2465,0,0
108,1106,0,2492,1,0
109,1106,0,2492,1,0
110,1120,0,2476,3,0
111,1129,0,2470,0,0
112,1112,0,2486,1,0
113,1132,0,2466,1,0
114,1135,0,2459,5,0
115,1160,0,2439,0,0
116,1131,0,2465,3,0
117,1143,0,2455,1,0
118,1168,0,2431,0,0
119,1158,0,2439,2,0
120,1166,0,2429,4,0
121,1185,0,2413,1,0
122,1185,0,2414,0,0
123,1188,0,2408,3,0
124,1181,0,2417,1,0
125,1210,0,2388,1,0
126,1185,0,2411,3,0
127,1157,0,2442,0,0
128,1218,0,2380,1,0
129,1212,1,2379,7,0
130,1211,1,2386,1,0
131,1182,0,2416,1,0
132,1195,2,2400,2,0
133,1255,0,2339,5,0
134,1226,1,2368,4,0
135,1267,1,2328,3,0
136,1281,1,2309,8,0
137,1204,2,2392,1,0
138,1243,1,2353,2,0
139,1312,1,2278,8,0
140,1295,2,2295,7,0
141,1260,3,2330,6,0
142,1250,2,2343,4,0
143,1297,1,2300,1,0
144,1308,0,2283,8,0
145,1331,3,2262,3,0
146,1333,0,2261,5,0
147,1304,0,2291,4,0
148,1371,1,2222,5,0
149,1407,2,2186,4,0
150,1327,2,2263,7,0
151,1360,1,2231,7,0
152,1377,2,2214,6,0
