Frame,Other,FCC,HCP,BCC,ICO
0,1070,0,2529,0,0
1,1070,0,2529,0,0
2,1070,0,2529,0,0
3,1070,0,2529,0,0
4,1072,0,2527,0,0
5,1070,0,2529,0,0
6,1071,0,2528,0,0
7,1070,0,2529,0,0
8,1070,0,2529,0,0
9,1070,0,2529,0,0
10,1070,0,2529,0,0
11,1070,0,2529,0,0
12,1071,0,2528,0,0
13,1071,0,2528,0,0
14,1070,0,2529,0,0
15,1070,0,2529,0,0
16,1070,0,2529,0,0
17,1070,0,2529,0,0
18,1070,0,2529,0,0
19,1071,0,2528,0,0
20,1071,0,2528,0,0
21,1070,0,2529,0,0
22,1070,0,2529,0,0
23,1071,0,2528,0,0
24,1071,0,2528,0,0
25,1072,0,2527,0,0
26,1071,0,2528,0,0
27,1070,0,2529,0,0
28,1071,0,2528,0,0
29,1070,0,2529,0,0
30,1070,0,2529,0,0
31,1070,0,2529,0,0
32,1070,0,2529,0,0
33,1070,0,2529,0,0
34,1070,0,2529,0,0
35,1070,0,2529,0,0
36,1071,0,2528,0,0
37,1070,0,2529,0,0
38,1071,0,2528,0,0
39,1070,0,2529,0,0
40,1070,0,2529,0,0
41,1070,0,2529,0,0
42,1070,0,2529,0,0
43,1070,0,2529,0,0
44,1070,0,2529,0,0
45,1070,0,2529,0,0
46,1070,0,2529,0,0
47,1071,0,2528,0,0
48,1073,0,2526,0,0
49,1074,0,2525,0,0
50,1074,0,2525,0,0
51,1074,0,2525,0,0
52,1071,0,2528,0,0
53,1070,0,2529,0,0
54,1073,0,2526,0,0
55,1070,0,2529,0,0
56,1070,0,2529,0,0
57,1072,0,2527,0,0
58,1072,0,2527,0,0
59,1074,0,2525,0,0
60,1071,0,2528,0,0
61,1072,0,2527,0,0
62,1074,0,2525,0,0
63,1071,0,2528,0,0
64,1072,0,2527,0,0
65,1071,0,2528,0,0
66,1075,0,2524,0,0
67,1072,0,2527,0,0
68,1073,0,2526,0,0
69,1070,0,2529,0,0
70,1071,0,2528,0,0
71,1073,0,2526,0,0
72,1072,0,2527,0,0
73,1073,0,2526,0,0
74,1072,0,2527,0,0
75,1074,0,2525,0,0
76,1074,0,2525,0,0
77,1072,0,2527,0,0
78,1075,0,2524,0,0
79,1075,0,2524,0,0
80,1075,0,2524,0,0
81,1076,0,2523,0,0
82,1076,0,2523,0,0
83,1079,0,2520,0,0
84,1075,0,2524,0,0
85,1070,0,2529,0,0
86,1075,0,2524,0,0
87,1072,0,2527,0,0
88,1073,0,2526,0,0
89,1070,0,2529,0,0
90,1073,0,2526,0,0
91,1075,0,2524,0,0
92,1082,0,2517,0,0
93,1079,0,2520,0,0
94,1079,0,2520,0,0
95,1071,0,2528,0,0
96,1072,0,2527,0,0
97,1076,0,2523,0,0
98,1076,0,2523,0,0
99,1074,0,2525,0,0
100,1076,0,2523,0,0
101,1076,0,2523,0,0
102,1074,0,2525,0,0
103,1076,0,2523,0,0
104,1076,0,2523,0,0
105,1082,0,2517,0,0
106,1083,0,2516,0,0
107,1087,0,2512,0,0
108,1080,0,2519,0,0
109,1075,0,2524,0,0
110,1082,0,2517,0,0
111,1082,0,2517,0,0
112,1079,0,2520,0,0
113,1096,0,2503,0,0
114,1101,0,2498,0,0
115,1104,0,2495,0,0
116,1099,0,2500,0,0
117,1100,0,2499,0,0
118,1121,0,2478,0,0
119,1094,0,2505,0,0
120,1116,0,2483,0,0
121,1136,0,2463,0,0
122,1124,0,2475,0,0
123,1135,0,2464,0,0
124,1113,0,2486,0,0
125,1126,0,2473,0,0
126,1133,0,2466,0,0
127,1109,0,2490,0,0
128,1135,0,2464,0,0
129,1150,2,2447,0,0
130,1153,1,2445,0,0
131,1131,1,2467,0,0
132,1132,2,2465,0,0
133,1185,0,2414,0,0
134,1179,1,2419,0,0
135,1163,1,2435,0,0
136,1206,1,2392,0,0
137,1134,3,2462,0,0
138,1199,1,2399,0,0
139,1219,1,2379,0,0
140,1227,1,2371,0,0
141,1184,2,2413,0,0
142,1209,1,2389,0,0
143,1232,1,2366,0,0
144,1215,0,2382,2,0
145,1245,3,2351,0,0
146,1229,0,2370,0,0
147,1239,0,2360,0,0
148,1290,1,2308,0,0
149,1303,2,2294,0,0
150,1274,0,2325,0,0
151,1290,1,2308,0,0
152,1311,0,2288,0,0
153,1318,0,2281,0,0
154,1325,1,2273,0,0
155,1351,0,2248,0,0
156,1302,0,2297,0,0
157,1317,0,2282,0,0
158,1311,0,2288,0,0
159,1318,0,2281,0,0
160,1397,0,2201,1,0
161,1347,2,2250,0,0
162,1348,0,2250,1,0
163,1459,0,2140,0,0
164,1464,0,2134,1,0
165,1410,0,2189,0,0
166,1435,0,2164,0,0
167,1388,0,2211,0,0
168,1458,0,2141,0,0
169,1503,0,2096,0,0
170,1436,1,2160,2,0
171,1466,0,2133,0,0
172,1461,0,2138,0,0
173,1500,0,2096,3,0
174,1496,0,2103,0,0
175,1523,0,2075,1,0
176,1480,0,2119,0,0
177,1571,0,2026,2,0
178,1595,0,2004,0,0
179,1590,0,2009,0,0
180,1564,0,2034,1,0
181,1557,0,2042,0,0
182,1635,0,1964,0,0
183,1580,0,2019,0,0
184,1615,0,1984,0,0
185,1625,0,1974,0,0
186,1677,0,1922,0,0
187,1612,1,1986,0,0
188,1667,0,1929,3,0
189,1630,0,1969,0,0
190,1634,0,1965,0,0
191,1620,0,1979,0,0
192,1719,0,1880,0,0
193,1654,0,1943,2,0
194,1709,0,1890,0,0
195,1741,0,1858,0,0
196,1751,0,1845,3,0
197,1732,1,1864,2,0
198,1818,3,1774,4,0
199,1744,0,1854,1,0
200,1788,0,1809,2,0
201,1740,0,1859,0,0
202,1766,0,1832,1,0
203,1725,0,1873,1,0
204,1888,0,1705,6,0
205,1993,0,1599,7,0
206,1953,0,1641,5,0
207,1831,1,1767,0,0
208,1889,1,1706,3,0
209,1945,0,1653,1,0
210,1835,0,1762,2,0
211,1903,0,1695,1,0
212,1816,0,1782,1,0
213,1804,0,1795,0,0
214,1807,0,1792,0,0
215,2073,3,1523,0,0
216,1932,0,1666,1,0
217,1919,0,1678,2,0
218,1878,0,1720,1,0
219,1957,1,1637,4,0
220,1886,0,1713,0,0
221,1894,0,1703,2,0
222,1868,1,1727,3,0
